setname,solvername,problemname,status,solutionstatus,objvalue,runtime
C5_ABI_10,ILP_GUROBI,graphmapping_1822f88e,1,1,4,0.07307910919189453
C135_ABI_10,QL_ILP,graphmapping_8cc97f88,1,1,5,0.2135012749931775
C135_ABI_10,GREEDY_RR,graphmapping_8cc97f88,1,1,3,0.02781470405170694
C135_ABI_10,GREEDY_RS,graphmapping_8cc97f88,1,1,3,0.020143197965808213
C135_TA2_40,QL_CLC,graphmapping_de8f3666,1,1,15,0.0954506220004987
C135_TA2_40,QL_ILP,graphmapping_de8f3666,1,1,27,23.38852102900273
C135_TA2_40,GREEDY_RR,graphmapping_de8f3666,1,1,2,0.20694984000874683
C13_ABI_10,ILP_GUROBI,graphmapping_629dc1b1,1,1,5,3.3503830432891846
C3_ABI_10,ILP_GUROBI,graphmapping_e685dad0,1,1,4,4.397690773010254
C135_ABI_10,ILP_GUROBI,graphmapping_8cc97f88,1,1,5,1.3449602127075195
C135_TA2_40,GREEDY,graphmapping_de8f3666,1,1,19,0.5675371050019749
C135_ABI_10,QL_CLC,graphmapping_8cc97f88,1,1,3,0.004444590013008565
C1_ABI_10,ILP_GUROBI,graphmapping_77934066,1,1,4,0.37378835678100586
C135_ABI_10,GREEDY,graphmapping_8cc97f88,1,1,3,0.3920939470117446
C135_TA2_40,GREEDY_RS,graphmapping_de8f3666,1,1,6,0.12838343001203611
C135_COS_20,GREEDY_RS,graphmapping_54d64a1f,1,1,4,0.03221183503046632
C1_COS_20,ILP_GUROBI,graphmapping_e1ffc89f,1,1,14,23.143425464630127
C135_COS_20,GREEDY_RR,graphmapping_54d64a1f,1,1,2,0.0667058740509674
C135_COS_20,QL_CLC,graphmapping_54d64a1f,1,1,6,0.020225071988534182
C135_COS_20,ILP_GUROBI,graphmapping_9cef866e,1,1,0,0
C5_COS_20,ILP_GUROBI,graphmapping_90bd85c6,1,1,14,19.715705394744873
C135_COS_20,GREEDY,graphmapping_54d64a1f,1,1,11,0.6373935400042683
C135_COS_20,QL_ILP,graphmapping_54d64a1f,1,1,15,7.027394892997108
